model,dark_region_mean_brightness,highlight_region_mean_change,global_mean_brightness
baseline,0.32,0.0814,0.4942
w1,0.3996,0.1028,0.5664
w3,0.4104,0.0962,0.567
w5,0.3617,0.0865,0.5259
