model,dark_region_mean_brightness,highlight_region_mean_change,global_mean_brightness
baseline,0.31997060775756836,0.08137362450361252,0.4941753149032593
tau_0.4,0.4003103971481323,0.0973590761423111,0.5627589225769043
tau_0.5,0.3811565637588501,0.09598888456821442,0.5481137633323669
tau_0.6,0.42389488220214844,0.10029994696378708,0.5803223252296448
