model,dark_region_mean_brightness,highlight_region_mean_change,global_mean_brightness
baseline,0.1252,0.089,0.1778
w1,0.1599,0.1181,0.2145
w3,0.1656,0.1108,0.2188
w5,0.1445,0.0967,0.1969
