model,dark_region_mean_brightness,highlight_region_mean_change,global_mean_brightness
baseline,0.260512113571167,0.07336796820163727,0.624937891960144
tau_0.4,0.32408520579338074,0.08449765294790268,0.6611945629119873
tau_0.5,0.3100683391094208,0.08522999286651611,0.6551976799964905
tau_0.6,0.3420214354991913,0.08811965584754944,0.6715645790100098
