model,dark_region_mean_brightness,highlight_region_mean_change,global_mean_brightness
baseline,0.12518884241580963,0.08897867798805237,0.1778373122215271
tau_0.4,0.16182884573936462,0.11024320125579834,0.21513885259628296
tau_0.5,0.14996127784252167,0.10724826902151108,0.20371751487255096
tau_0.6,0.16866053640842438,0.11995279788970947,0.22292515635490417
